timestamp,bpm,quality,source,restorative
2024-07-12T10:49:47.000Z,54,,rest,TRUE
2024-07-12T10:54:47.000Z,54,,rest,TRUE
2024-07-12T10:59:47.000Z,54,,rest,TRUE
2024-07-12T11:04:47.000Z,54,,rest,TRUE
2024-07-12T11:09:47.000Z,53,,rest,TRUE
2024-07-12T11:14:47.000Z,54,,rest,TRUE
2024-07-12T11:19:47.000Z,54,,rest,TRUE
2024-07-12T11:24:47.000Z,54,,rest,TRUE
2024-07-12T11:29:47.000Z,56,,rest,TRUE
2024-07-12T11:34:47.000Z,53,,rest,TRUE
2024-07-12T11:39:47.000Z,53,,rest,TRUE
2024-07-12T11:44:47.000Z,58,,rest,TRUE
2024-07-12T11:49:47.000Z,54,,rest,TRUE
2024-07-12T11:54:47.000Z,53,,rest,TRUE
2024-07-12T11:59:47.000Z,52,,rest,TRUE
2024-07-12T12:04:47.000Z,53,,rest,TRUE
2024-07-12T12:09:47.000Z,53,,rest,TRUE
2024-07-12T12:14:47.000Z,51,,rest,TRUE
2024-07-12T12:19:47.000Z,50,,rest,TRUE
2024-07-12T12:24:47.000Z,49,,rest,TRUE
2024-07-12T12:29:47.000Z,49,,rest,TRUE
2024-07-12T12:34:47.000Z,49,,rest,TRUE
2024-07-12T12:39:47.000Z,48,,rest,TRUE
2024-07-12T12:44:47.000Z,49,,rest,TRUE
2024-07-12T12:54:47.000Z,52,,rest,TRUE
2024-07-12T12:59:47.000Z,53,,rest,TRUE
2024-07-12T13:04:47.000Z,51,,rest,TRUE
2024-07-12T13:09:47.000Z,49,,rest,TRUE
2024-07-12T13:14:47.000Z,50,,rest,TRUE
2024-07-12T13:19:47.000Z,54,,rest,TRUE
2024-07-12T13:24:47.000Z,51,,rest,TRUE
2024-07-12T13:29:47.000Z,50,,rest,TRUE
2024-07-12T13:34:47.000Z,49,,rest,TRUE
2024-07-12T13:39:47.000Z,50,,rest,TRUE
2024-07-12T13:44:47.000Z,49,,rest,TRUE
2024-07-12T13:49:47.000Z,49,,rest,TRUE
2024-07-12T13:54:47.000Z,51,,rest,TRUE
2024-07-12T13:59:47.000Z,50,,rest,TRUE
2024-07-12T14:04:47.000Z,52,,rest,TRUE
2024-07-12T14:09:47.000Z,53,,rest,TRUE
2024-07-12T14:14:47.000Z,60,,rest,TRUE
